R: [77, 29, 9] L: [77, 22, 9]
R: [77, 29, 8] L: [78, 24, 8]
R: [80, 30, 10] L: [79, 24, 11]
R: [77, 25, 8] L: [79, 24, 11]
R: [79, 28, 9] L: [78, 23, 9]
R: [80, 28, 10] L: [78, 22, 11]
R: [80, 30, 9] L: [77, 22, 8]
R: [80, 30, 9] L: [79, 24, 10]
R: [78, 27, 8] L: [79, 24, 11]
R: [76, 28, 8] L: [78, 23, 11]
R: [80, 28, 7] L: [78, 23, 11]
R: [81, 29, 10] L: [81, 24, 12]
R: [78, 27, 9] L: [76, 23, 11]
R: [85, 31, 13] L: [79, 23, 8]
R: [80, 28, 9] L: [79, 23, 10]
R: [80, 31, 11] L: [79, 22, 10]
R: [77, 27, 8] L: [80, 26, 11]
R: [79, 29, 8] L: [79, 24, 12]
R: [80, 28, 8] L: [79, 22, 9]
R: [78, 28, 11] L: [77, 23, 7]
R: [79, 27, 9] L: [81, 24, 14]
R: [80, 28, 9] L: [79, 25, 11]
R: [81, 30, 11] L: [78, 23, 10]
R: [79, 29, 10] L: [78, 23, 9]
R: [78, 27, 9] L: [78, 22, 10]
R: [79, 30, 9] L: [79, 25, 11]
R: [79, 28, 10] L: [78, 22, 10]
R: [80, 29, 11] L: [78, 22, 10]
R: [79, 27, 8] L: [82, 24, 11]
R: [80, 30, 9] L: [78, 22, 11]
R: [79, 28, 10] L: [78, 22, 10]
R: [80, 29, 9] L: [78, 22, 10]
R: [80, 29, 9] L: [78, 22, 9]
R: [80, 30, 10] L: [77, 23, 10]
R: [78, 28, 9] L: [76, 23, 7]
R: [77, 30, 6] L: [81, 23, 12]
R: [80, 29, 11] L: [79, 20, 13]
R: [80, 27, 8] L: [78, 22, 9]
R: [80, 29, 9] L: [81, 24, 11]
R: [78, 29, 10] L: [79, 24, 12]
R: [80, 29, 9] L: [79, 23, 11]
R: [78, 28, 9] L: [78, 22, 10]
R: [77, 26, 8] L: [79, 23, 10]
R: [80, 29, 11] L: [79, 24, 11]
R: [79, 29, 10] L: [79, 23, 9]
R: [79, 27, 8] L: [79, 23, 11]
R: [79, 27, 8] L: [77, 22, 8]
R: [80, 29, 9] L: [78, 22, 9]
R: [80, 27, 14] L: [78, 24, 7]
R: [79, 27, 11] L: [79, 22, 9]
R: [82, 30, 9] L: [81, 24, 11]
R: [78, 27, 7] L: [79, 22, 10]
R: [81, 30, 11] L: [80, 24, 12]
R: [79, 29, 8] L: [79, 24, 11]
